Search Terms: #UnitingTheMovement
"Priority Keywords: activist, campaigning for, group, charity"
Av. Tweet Volume: 34 / day (240 tweets total measured over 7 days)
 
Name,Username,Profile URL,Description,Location,URL,Verified,Follower Count,Listed Count,No. Mentions,Users Who Mentioned Them,Example Tweet,Priority,Notes
Northamptonshire Sport,@Nsport,https://www.twitter.com/Nsport,"We are Northamptonshire’s leading physical activity, health and wellbeing charity #letsmovetogether",Northamptonshire,,False,False,113,3,"@Nsport, @SportingEquals, @Sport_England, ...","RT @Nsport: Happy 3rd anniversary to @Sport_England's #UnitingTheMovement strategy. 🥳  We’re fully behind #UnitingTheMovement, it aims to remove the barriers that prevent people from leading active lifestyles. Here are some pics of our inequalities work in Northants. https://t.co/UuUY0IEwOl https://t.co/l9CMSqdUl7",yes
Activity Alliance,@AllForActivity,https://www.twitter.com/AllForActivity,Activity Alliance is a national charity and the leading voice for disabled people in sport and activity.,England,,False,False,396,1,"@dwarfsportDSAuk, ...",RT @AllForActivity: We are proud to play our part in helping to deliver #UnitingTheMovement.   Together we will continue to fight for fairness for disabled people in sport and activity. https://t.co/qp57zCU98w,yes
Sport England,@Sport_England,https://www.twitter.com/Sport_England,"We use our insight, expertise, campaigns and funds from @TNLUK and @DCMS to ensure that everyone feels able to take part in sport and physical activity.",England,,True,True,880,104,"@AllForActivity, @Amanadadaley09, @LboroRICKI, @LozFo, @_MollyJennens, ...","@Sport_England @tphollingsworth Just visited one of your benefactors @BTTCOfficial who are #UnitingTheMovement in a big way. Changing lives through the power of sport. Most impressive and truly transformative. Thank you RE: 💪 Tackling inequalities 🤝 Collaboration with our partners ✅ Successes 👁️ What's to come  Hear from our CEO @tphollingsworth on #UnitingTheMovement and how, together with the sector, we're reimagining how we keep movement, sport and activity central to the lives of everyone. https://t.co/mu9yzWjl3I",no
Tim Hollingsworth,@tphollingsworth,https://www.twitter.com/tphollingsworth,"Chief Executive, Sport England. Previously CEO British Paralympic Association.  May also tweet about Fulham FC, Bath. Views very much my own.","London, Bath, various",,False,False,105,26,"@cCLOAssociation, @waronepilepsy, @ArdenPE, @chrisgaynor2, @sportrectweets, ...","@Sport_England @tphollingsworth Just visited one of your benefactors @BTTCOfficial who are #UnitingTheMovement in a big way. Changing lives through the power of sport. Most impressive and truly transformative. Thank you RE: 💪 Tackling inequalities 🤝 Collaboration with our partners ✅ Successes 👁️ What's to come  Hear from our CEO @tphollingsworth on #UnitingTheMovement and how, together with the sector, we're reimagining how we keep movement, sport and activity central to the lives of everyone. https://t.co/mu9yzWjl3I",no
Greater Manchester Moving,@GMMoving,https://www.twitter.com/GMMoving,"We lead, support, and connect people and partners to deliver the #GMMoving in Action strategy.  Changing lives through movement, physical activity, and sport.",Greater Manchester,,False,False,120,16,"@LouiseWyman, @charleskod, @evefrancisholt, @hayleylever, @Sport_England, ...","RT @GMMoving: #UnitingTheMovement in #Oldham saw @OldhamCouncil, Oldham Sports Development and @UProjects4U colleagues work together to create a series of pharmacy walks to get more people moving and spreading the word about healthcare services available🚶  Full story: https://t.co/Q6av7Iy6BI https://t.co/8LpTO6Y9dU",no
Greenbank Sports Academy,@GreenbankSports,https://www.twitter.com/GreenbankSports,Greenbank Sports Academy is operated by @greenbankchty and is the North West’s leading inclusive sports and leisure facility located in South Liverpool.,"Liverpool, United Kingdom",,False,False,12,13,"@AllForActivity, @Amanadadaley09, @LboroRICKI, @LozFo, @_MollyJennens, ...","RT @Sport_England: Disabled people are twice as likely to be inactive compared to those without. This is one of the inequalities at the very core of #UnitingTheMovement that we're aiming to tackle.   @GreenbankSports in Liverpool provides opportunities to disabled people, including Liam. https://t.co/6Q1tRxf5tc",no
Active Partnerships,@ActivePartners_,https://www.twitter.com/ActivePartners_,The nationwide network making an active lifestyle the social norm for everyone,england,,False,False,148,9,"@Harris_SSP, @skip2bfit, @JanSinclair3, @hayleylever, @_JamesMThomas, ...","RT @ActivePartners_: Today marks 3⃣ years since the launch of #UnitingTheMovement   A huge number of organisations, including our 43 #ActivePartnerships , are working together to help people across England breakdown the barriers to being active.  This is what's been achieved so far⬇️ https://t.co/nISC06DUhE",no
Oldham Council,@OldhamCouncil,https://www.twitter.com/OldhamCouncil,"Latest news, events and alerts from across the borough. For customer service please call 0161 770 3000",Oldham,,False,False,340,6,"@LouiseWyman, @charleskod, @evefrancisholt, @julie_cunliffe, @UProjects4U, ...","RT @GMMoving: #UnitingTheMovement in #Oldham saw @OldhamCouncil, Oldham Sports Development and @UProjects4U colleagues work together to create a series of pharmacy walks to get more people moving and spreading the word about healthcare services available🚶  Full story: https://t.co/Q6av7Iy6BI https://t.co/8LpTO6Y9dU",no
Alan & Gaynor Keane 🌱,@UProjects4U,https://www.twitter.com/UProjects4U,Providing outdoor physical activities. Organised events & bespoke activities. We work in partnership with private and public sector and voluntary organisations.,"North West, England",,False,False,11,6,"@LouiseWyman, @charleskod, @evefrancisholt, @julie_cunliffe, @UProjects4U, ...","RT @GMMoving: #UnitingTheMovement in #Oldham saw @OldhamCouncil, Oldham Sports Development and @UProjects4U colleagues work together to create a series of pharmacy walks to get more people moving and spreading the word about healthcare services available🚶  Full story: https://t.co/Q6av7Iy6BI https://t.co/8LpTO6Y9dU",no
ActiveEssex,@ActiveEssex,https://www.twitter.com/ActiveEssex,"Active Essex is the Active Partnership for Essex, Southend & Thurrock working closely with communities and partners to inspire residents to get moving.","Chelmsford, Essex",,False,False,143,6,"@Jennife49117241, @M_Mnov11, @OpenGoalUK, @Sport_England, @SouthendATF, ...","@ActiveEssex Love this! #UnitingTheMovement RE: Today marks the 3-year anniversary of @sport_england #UnitingTheMovement strategy, which aims to tackle inactivity levels across England.  We are continuing to support this movement through the systems #FitfortheFuture strategy and our behaviour change campaign; #FindYourActive. https://t.co/djP0qOXAiv",no
playtheirway,@playtheirway,https://www.twitter.com/playtheirway,"Join the biggest grassroots movement of coaches, orgs and people working to champion every child's needs, rights and enjoyment in sport and physical activity 🤸",,,False,False,4,5,"@graeme_dell, @stu_arm, @CCcommanager, @playtheirway, @Sport_England, ...","@playtheirway Positive experiences for children and young people are at the heart of #UnitingTheMovement - child-first coaching and @playtheirway is an important part of this 💙 RE: We are so proud to be part of the @Sport_England #UnitingTheMovement strategy💙together, we can transform children and young people's experiences in sport and physical activity. https://t.co/mnxak20dvf",no
Sport for Confidence,@sportforconf,https://www.twitter.com/sportforconf,"Tackling inequalities to create a fairer society, so that everyone can enjoy community spaces that promote movement, activity, well-being and relationships.","England, United Kingdom",,False,False,10,4,"@Michelle__OT, @Jennife49117241, @DDawnOT, @MovingOTs, ...","RT @sportforconf: Happy 3rd Anniversary to #UnitingTheMovement! 🥳 We are proud to play our part as system partner in enabling individuals and populations to engage in sport, physical activity, and #MeaningfulMovement 🙌 https://t.co/oX3aUKN5zg",no
GM Walking,@GmWalks,https://www.twitter.com/GmWalks,"Supporting everyday walking, strolling, ambling, exploring, mooching.....  #GMWalking",Greater Manchester,,False,False,11,4,"@OpenGoalUK, @TamesideCouncil, @GmWalks, @GMMoving, ...",RT @GMMoving: The latest round of @GmWalks Walking and Wheeling funding has helped 38 community groups tackle physical activity inequalities in their community🚶👩‍🦽  Find out more about the inspiring projects supported in this round👇 https://t.co/20aXGpdddo  #UnitingTheMovement https://t.co/gOFX5HF89J,no
Chris Boardman,@Chris_Boardman,https://www.twitter.com/Chris_Boardman,It’s amazing what you discover just pedalling along...,,,False,False,2619,4,"@burniethebolt, @Ben_A_Wilson, @Andy66cb, @ActivePartners_, ...",RT @Chris_Boardman: Happy 3rd Birthday  #UnitingTheMovement 🎉 a privilege to help @Sport_England empower local people to create a more active nation. https://t.co/SsTB6fORXK,no
CIMSPA,@cimspa,https://www.twitter.com/cimspa,Shaping a recognised and respected sport and physical activity sector that everyone wants to be part of.,United Kingdom,,False,False,84,2,"@SAPA_Pro, @Taraldillon, ...","RT @cimspa: Incredible impact three years into the #UnitingTheMovement strategy.   As a Sport England system partner, we are delighted to be continuing to work closely together to support workforce and skills development across the sector. https://t.co/8oUh3NpG0K",no
ukactive,@_ukactive,https://www.twitter.com/_ukactive,"A not-for-profit body of members and partners across the UK physical activity and fitness sector. More People, More Active, More Often.","London, UK",,False,False,412,2,"@YouthSportTrust, @AliOliverYST, ...","RT @AliOliverYST: Looking forward to attending today's @_ukactive #ActiveUprising conference, hearing from @Huw75 and a great speaker line up. @youthsporttrust are proud to work alongside @_ukactive and 5 other organisations as part of the National Sector Partners Group #UnitingTheMovement !",no
Huw Edwards,@Huw75,https://www.twitter.com/Huw75,"ukactive ceo, and I don’t read the news",London,,False,False,8,2,"@YouthSportTrust, @AliOliverYST, ...","RT @AliOliverYST: Looking forward to attending today's @_ukactive #ActiveUprising conference, hearing from @Huw75 and a great speaker line up. @youthsporttrust are proud to work alongside @_ukactive and 5 other organisations as part of the National Sector Partners Group #UnitingTheMovement !",no
Sporting Equals,@SportingEquals,https://www.twitter.com/SportingEquals,Championing ethnic diversity in sport & physical activity | Pioneers of the Race Discrimination Support Service | Founding member of @BelongNetwork.,"Coventry, England",,False,False,135,2,"@Ayaz_Bhuta, @Nsport, ...","RT @SportingEquals: It's been a great morning of LeaderBoard Day 3 at @uniofleicester . Our cohort have had some brilliant advice and training from experts in leadership, risk management and alumni of the LeaderBoard programme who are now making change happen. #Diversity #UnitingTheMovement https://t.co/KVKQsRrwcS",no
University of Leicester,@uniofleicester,https://www.twitter.com/uniofleicester,🔭 Led by discovery and innovation. 🎓 Renowned for research-inspired education. 🏆 Ranked 26th in the UK (THE World Rankings 2024). #CitizensOfChange,University of Leicester,,False,False,553,2,"@Ayaz_Bhuta, @SportingEquals, ...","RT @SportingEquals: It's been a great morning of LeaderBoard Day 3 at @uniofleicester . Our cohort have had some brilliant advice and training from experts in leadership, risk management and alumni of the LeaderBoard programme who are now making change happen. #Diversity #UnitingTheMovement https://t.co/KVKQsRrwcS",no
Active Calderdale,@ActiveCdale,https://www.twitter.com/ActiveCdale,"When we move, we're stronger.  You can play your part in helping Calderdale to move more.  Find out how at https://t.co/RIfZnEfsV9","Halifax, England",,False,False,14,2,"@AshGreenHead, @calderdalecares, ...",RT @ActiveCdale: Active Calderdale is proud to be a Place Partner working with @Sport_England on #UnitingTheMovement to transform the lives of people in our communities through physical activity and sport. #ActiveCdale https://t.co/ta7YwAPNpb,no
Sport for Development Coalition,@SFDCoalition,https://www.twitter.com/SFDCoalition,UK-wide network of organisations using physical activity and sport intentionally to address health and societal inequalities. See also @OpenGoalUK #OpenGoal,UK,,False,False,26,2,"@newark_sports_a, @kev_kevmurphy63, ...",RT @SFDCoalition: It’s three years since #SportForDevelopment Coalition partner @Sport_England launched its 10-year strategy #UnitingTheMovement - find out more 👇🏽  #TacklingInequalities #OpenGoal https://t.co/7b65wB0Jx2,no
